Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
431000000 0.00411239 0.00156414 -0.417156 0.415992 -1.46683 -1.467 0.74361 0.743998 -0.792993 0.793353 0.446038 0.445872 1.1994 1.19962 1.19988 -1.20023 
451000000 0.00411331 0.00156162 -0.417168 0.400403 -1.46683 -1.46906 0.743613 0.754024 -0.792994 0.794499 0.446038 0.450426 1.1994 1.19962 1.19988 -1.18246 
471000000 0.00411489 0.0015511 -0.417177 0.355556 -1.46683 -1.47617 0.743615 0.770872 -0.792994 0.797075 0.446038 0.459473 1.1994 1.19962 1.19989 -1.11964 
491000000 0.0041158 0.00154654 -0.417186 0.310633 -1.46683 -1.48729 0.743617 0.781416 -0.792994 0.800053 0.446038 0.468232 1.1994 1.19962 1.19989 -1.05681 
511000000 0.00411671 0.00154241 -0.417195 0.26581 -1.46683 -1.50196 0.743618 0.785276 -0.792995 0.803395 0.446038 0.476508 1.1994 1.19963 1.1999 -0.99399 
531000000 0.00411761 0.0015389 -0.417204 0.221339 -1.46683 -1.51955 0.74362 0.782412 -0.792995 0.807041 0.446038 0.484131 1.1994 1.19963 1.1999 -0.931167 
551000000 0.00411852 0.00153609 -0.417213 0.177489 -1.46683 -1.5394 0.743622 0.773152 -0.792995 0.810919 0.446038 0.490983 1.1994 1.19964 1.19991 -0.868346 
571000000 0.00411942 0.00153398 -0.417222 0.134484 -1.46683 -1.56086 0.743623 0.758111 -0.792996 0.814958 0.446038 0.497013 1.1994 1.19964 1.19991 -0.805525 
591000000 0.00412033 0.00153249 -0.417231 0.0924503 -1.46683 -1.58342 0.743625 0.73804 -0.792996 0.8191 0.446038 0.50223 1.19941 1.19964 1.19992 -0.742704 
611000000 0.00412124 0.00153143 -0.41724 0.0514033 -1.46682 -1.60671 0.743627 0.713677 -0.792997 0.823302 0.446037 0.506685 1.19941 1.19965 1.19992 -0.679885 
631000000 0.00412216 0.0015309 -0.417249 0.011242 -1.46682 -1.63048 0.743628 0.685656 -0.792997 0.827539 0.446037 0.510454 1.19941 1.19965 1.19993 -0.618433 
651000000 0.00412305 0.00153141 -0.417258 -0.0282596 -1.46682 -1.65458 0.74363 0.654516 -0.792997 0.831802 0.446037 0.51362 1.19941 1.19965 1.19993 -0.55993 
671000000 0.00412397 0.0015321 -0.417267 -0.067377 -1.46682 -1.67891 0.743632 0.620627 -0.792998 0.83609 0.446037 0.516263 1.19941 1.19966 1.19994 -0.503935 
691000000 0.00412488 0.00153272 -0.417275 -0.106404 -1.46682 -1.70348 0.743634 0.584174 -0.792998 0.840416 0.446037 0.51845 1.19941 1.19966 1.19994 -0.449982 
711000000 0.00412579 0.00153326 -0.417284 -0.145657 -1.46682 -1.7283 0.743635 0.545173 -0.792998 0.844804 0.446037 0.520237 1.19941 1.19966 1.19995 -0.397615 
