Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
150000000 0.00325817 0.000708879 -0.417185 0.41599 -1.46687 -1.46704 0.743606 0.743981 -0.793 0.793353 0.446041 0.445867 1.19941 1.19963 1.19987 -1.20022 
170000000 0.00325807 0.000705107 -0.417196 0.416293 -1.46686 -1.46692 0.743609 0.743294 -0.793 0.793864 0.446041 0.446517 1.19941 1.19963 1.19988 -1.19988 
190000000 0.00325888 0.000702938 -0.417186 0.420322 -1.46686 -1.46393 0.74361 0.733389 -0.793001 0.792086 0.446041 0.439506 1.19941 1.19963 1.19988 -1.19646 
210000000 0.00326126 0.000692235 -0.417183 0.429231 -1.46687 -1.46386 0.743605 0.730403 -0.793001 0.792451 0.44604 0.440006 1.19941 1.19963 1.19989 -1.20325 
230000000 0.00325966 0.000686561 -0.417178 0.443509 -1.46687 -1.464 0.7436 0.722484 -0.793002 0.792202 0.44604 0.44119 1.19941 1.19962 1.1999 -1.22589 
250000000 0.00325506 0.000686184 -0.417183 0.441225 -1.46687 -1.46421 0.743601 0.724707 -0.793003 0.793333 0.44604 0.445314 1.19941 1.19962 1.1999 -1.22617 
270000000 0.00325499 0.000680236 -0.417181 0.442118 -1.46687 -1.46419 0.743593 0.723803 -0.793004 0.793208 0.44604 0.446154 1.19942 1.19963 1.19991 -1.22058 
290000000 0.00325247 0.000679849 -0.417182 0.449923 -1.46687 -1.46433 0.743591 0.731271 -0.793005 0.79423 0.446039 0.450124 1.19942 1.19963 1.19991 -1.23457 
310000000 0.00325016 0.000689817 -0.417179 0.453947 -1.46687 -1.46358 0.743587 0.74164 -0.793006 0.793584 0.446039 0.450538 1.19942 1.19963 1.19992 -1.24657 
330000000 0.00324703 0.000682058 -0.417178 0.46088 -1.46688 -1.46348 0.743581 0.739948 -0.793007 0.793532 0.446039 0.450431 1.19942 1.19962 1.19993 -1.25706 
