Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
654000000 0.0048531 0.00206972 -0.417139 0.41866 -1.46689 -1.46673 0.743563 0.742924 -0.792992 0.793166 0.446031 0.445523 1.19939 1.19961 1.1999 -1.20487 
674000000 0.00485375 0.00206619 -0.417147 0.422007 -1.46689 -1.46649 0.743564 0.741304 -0.792993 0.793005 0.446031 0.444841 1.19939 1.19961 1.1999 -1.21086 
694000000 0.0048544 0.00206246 -0.417156 0.425357 -1.46689 -1.46629 0.743564 0.739648 -0.792993 0.792846 0.446031 0.444159 1.19939 1.19962 1.19991 -1.21684 
714000000 0.00485506 0.00205875 -0.417164 0.428709 -1.46689 -1.46611 0.743565 0.737956 -0.792994 0.79269 0.446031 0.443476 1.19939 1.19962 1.19992 -1.2228 
734000000 0.00485571 0.00205506 -0.417172 0.432066 -1.46689 -1.46595 0.743565 0.736227 -0.792994 0.792536 0.44603 0.442794 1.19939 1.19962 1.19992 -1.22875 
754000000 0.00485636 0.0020514 -0.41718 0.435425 -1.46689 -1.46583 0.743566 0.734463 -0.792995 0.792386 0.44603 0.442111 1.1994 1.19962 1.19993 -1.23469 
774000000 0.00485702 0.00204771 -0.417189 0.438787 -1.46689 -1.46573 0.743566 0.732664 -0.792995 0.792238 0.44603 0.441428 1.1994 1.19963 1.19993 -1.24061 
794000000 0.00485767 0.00204408 -0.417197 0.442153 -1.46689 -1.46566 0.743567 0.73083 -0.792995 0.792093 0.44603 0.440745 1.1994 1.19963 1.19994 -1.24653 
814000000 0.00485833 0.00204047 -0.417205 0.445521 -1.4669 -1.46561 0.743568 0.728962 -0.792996 0.79195 0.44603 0.440062 1.1994 1.19963 1.19995 -1.25242 
834000000 0.00485899 0.00203689 -0.417213 0.448893 -1.4669 -1.46559 0.743568 0.72706 -0.792996 0.791811 0.44603 0.439379 1.1994 1.19963 1.19995 -1.25831 
854000000 0.00485965 0.00203332 -0.417221 0.452268 -1.4669 -1.4656 0.743569 0.725123 -0.792997 0.791673 0.44603 0.438696 1.1994 1.19964 1.19996 -1.26417 
