Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
24.566000000 0.0240708 0.0134254 -0.4463 0.376455 -1.46793 -1.50565 0.778138 0.76156 -0.79829 0.865758 0.456848 0.481366 1.2066 1.22731 1.21141 -1.19359 
24.586000000 0.0241249 0.0134915 -0.446434 0.369541 -1.46787 -1.50942 0.778273 0.787474 -0.798283 0.866402 0.456881 0.481754 1.20659 1.22734 1.21142 -1.19572 
24.606000000 0.0241771 0.0135548 -0.446557 0.367298 -1.46782 -1.52151 0.778413 0.831136 -0.798276 0.869292 0.456915 0.494168 1.20658 1.22737 1.21144 -1.21136 
24.626000000 0.024229 0.0136226 -0.446689 0.381278 -1.46777 -1.52366 0.778554 0.858308 -0.798268 0.870007 0.45695 0.498972 1.20657 1.2274 1.21145 -1.24569 
24.646000000 0.0242817 0.0137065 -0.44682 0.372248 -1.46771 -1.53164 0.778693 0.904496 -0.798261 0.871968 0.456983 0.510465 1.20656 1.22742 1.21146 -1.26459 
24.666000000 0.0243329 0.0137589 -0.446941 0.34349 -1.46766 -1.5425 0.778833 0.954698 -0.798253 0.873618 0.457017 0.526528 1.20655 1.22744 1.21147 -1.25506 
24.686000000 0.0243853 0.0138337 -0.447068 0.337947 -1.4676 -1.55407 0.778972 0.99462 -0.798244 0.875287 0.457051 0.542098 1.20654 1.22745 1.21149 -1.26874 
24.706000000 0.0244394 0.0138874 -0.44719 0.325306 -1.46755 -1.5752 0.779109 1.04089 -0.798237 0.876261 0.457084 0.560276 1.20653 1.22746 1.2115 -1.27545 
24.726000000 0.0244915 0.013946 -0.447313 0.299723 -1.46749 -1.6021 0.77925 1.09702 -0.798228 0.877511 0.457118 0.585178 1.20651 1.22747 1.21151 -1.2791 
24.746000000 0.0245427 0.0140039 -0.447439 0.30409 -1.46744 -1.6088 0.779387 1.13277 -0.79822 0.877666 0.457151 0.576995 1.2065 1.22747 1.21152 -1.30863 
24.766000000 0.0245956 0.0140587 -0.447562 0.293122 -1.46738 -1.62155 0.779523 1.18828 -0.798213 0.878057 0.457184 0.588834 1.20649 1.22748 1.21154 -1.32888 
24.786000000 0.0246462 0.0140712 -0.447689 0.276953 -1.46732 -1.63579 0.779664 1.24275 -0.798205 0.878192 0.457218 0.591363 1.20648 1.22748 1.21155 -1.31068 
24.806000000 0.0246961 0.0141362 -0.44781 0.274328 -1.46727 -1.63746 0.7798 1.29358 -0.798197 0.878079 0.457251 0.586198 1.20647 1.22748 1.21156 -1.31198 
