task_performance point_to_horizontal_plane task_performance point_to_vertical_plane
0.187676 -4.00855 -0.269446 -1.40376 
0.181019 1.7263 -0.263955 -0.427672 
0.173953 -2.99046 -0.25637 2.12726 
0.166565 1.71261 -0.249107 0.0282661 
0.171675 -0.396648 -0.236355 2.01797 
0.167396 -0.410951 -0.222234 -0.674161 
0.168941 -1.51599 -0.205819 -3.20034 
0.173424 -0.329284 -0.190429 0.0123256 
0.168934 2.52885 -0.180245 0.383803 
0.163646 1.225 -0.175477 1.13459 
0.162106 -1.21977 -0.170448 -0.406073 
0.154821 1.70389 -0.169988 -2.45146 
0.145282 0.286843 -0.169215 0.887964 
0.148312 0.106579 -0.163371 -1.86617 
0.162429 -2.6776 -0.14722 0.371261 
0.161922 0.262279 -0.134353 -0.762522 
0.165579 -1.21846 -0.126826 -0.064379 
0.164265 -0.626232 -0.118679 -1.3421 
0.167606 2.45822 -0.107949 -2.87663 
0.171154 0.838633 -0.0971498 -2.19385 
0.181402 -0.04207 -0.0867626 0.842257 
0.186763 0.497957 -0.0805195 1.12322 
0.191918 2.32188 -0.0724921 -1.76567 
0.197796 -1.63058 -0.0614036 1.13046 
0.201877 1.257 -0.0580586 -0.446767 
0.207016 -0.843329 -0.0541121 -1.68983 
0.210997 -1.83351 -0.0509256 -0.424916 
0.210551 -0.465282 -0.0481656 -2.02704 
0.210172 0.46253 -0.0451126 2.39591 
0.213958 -2.08573 -0.0376222 1.65798 
0.212643 -1.89896 -0.0360071 0.599961 
0.218888 0.796463 -0.0307581 1.52141 
0.225528 -0.658714 -0.0240197 0.600179 
0.222691 1.17506 -0.0216493 -1.00595 
0.220756 0.0768301 -0.0257388 1.65631 
0.223683 -1.20687 -0.0244265 -1.04191 
0.226503 -0.572387 -0.0217677 0.762262 
0.226712 -1.25352 -0.0215831 0.981588 
0.22727 0.592403 -0.0233938 1.07908 
0.22031 0.711187 -0.0244201 -1.24233 
0.220544 0.874688 -0.027052 -1.76479 
0.222883 -1.75475 -0.0255039 1.90232 
0.224173 0.273051 -0.0220713 -0.806806 
0.221991 0.949412 -0.0246019 0.453769 
0.218981 3.34108 -0.0269625 -2.10348 
0.217938 0.212271 -0.0267825 1.88278 
0.212493 -1.25467 -0.026552 -0.53242 
0.213458 -0.874384 -0.0289795 1.40368 
0.208554 2.07407 -0.0334124 -1.29084 
0.210288 -2.05847 -0.0358447 -0.657729 
0.207929 -3.45961 -0.0403347 2.68427 
0.208798 1.37947 -0.0376262 4.07443 
0.207146 -2.29909 -0.0363197 1.3245 
0.206716 0.40726 -0.0357892 0.478419 
0.206137 -1.58242 -0.0284199 -2.66467 
0.203395 0.627484 -0.0292272 0.996315 
0.205351 -1.98106 -0.0298393 -0.265957 
0.201783 -1.15736 -0.0335276 2.63097 
0.20608 1.64957 -0.0349253 2.38155 
0.207261 -0.0333423 -0.0300617 -0.657644 
0.20612 1.95023 -0.0262726 1.16704 
0.213484 -0.318625 -0.0187415 2.80668 
0.213834 0.340231 -0.019261 -0.115418 
0.217033 -0.731225 -0.0154197 1.39628 
0.214705 -0.306628 -0.00941776 -1.36606 
0.207725 1.02575 -0.0108586 -1.39453 
0.2117 0.862805 -0.00676942 0.771148 
0.221297 3.39215 0.00391861 0.510077 
0.229451 0.866076 0.0130211 -1.67824 
0.224874 -0.818096 0.0114758 0.369362 
0.222551 -1.44597 0.0109998 -0.985351 
0.227238 1.3845 0.011301 1.55036 
0.229718 -1.42187 0.0121972 0.635541 
0.226608 1.54081 0.0138131 -1.18743 
0.223558 -2.85775 0.0188145 1.61886 
0.22142 0.792181 0.0204105 -0.214318 
0.222586 -1.14357 0.0175263 1.66921 
0.224295 1.22872 0.0150619 -1.24384 
0.226118 0.225411 0.0166014 0.926932 
0.216831 -0.78516 0.0144376 -1.90147 
0.208462 -0.00485085 0.00548278 1.11451 
0.204249 1.09332 0.00706387 -2.60481 
0.206508 -0.885837 0.00626811 1.07825 
0.205189 -2.09135 0.00619158 -0.672732 
0.199977 -0.353469 0.00151047 0.226211 
0.196373 2.84129 0.000156529 -0.129104 
0.196012 -2.54987 0.00032165 2.6936 
0.197724 -1.47734 -0.00244568 1.25604 
0.197038 -1.70006 0.000348205 -3.2362 
0.195912 0.756262 -0.00136339 -2.26259 
0.197382 -1.69617 0.00143271 0.895254 
0.199349 1.69719 0.00403118 -1.41219 
