task_performance dummy 
0.18486 -0.831872 
0.169395 -0.762277 
0.154837 -0.696764 
0.141535 -0.636907 
0.129381 -0.582215 
0.118276 -0.532241 
0.108129 -0.486579 
0.0988566 -0.444854 
0.0903838 -0.406727 
0.0822719 -0.370223 
0.0748931 -0.337019 
0.0681801 -0.306811 
0.0623509 -0.280579 
0.0570246 -0.256611 
0.0521569 -0.234706 
0.0477089 -0.21469 
0.0436442 -0.196399 
0.0399298 -0.179684 
0.0365355 -0.16441 
0.0334335 -0.150451 
0.0305993 -0.137697 
0.0280089 -0.12604 
0.0256422 -0.11539 
0.0234792 -0.105656 
0.0215026 -0.0967617 
0.0196961 -0.0886326 
0.0180451 -0.0812031 
0.0165367 -0.074415 
0.0151579 -0.0682105 
0.0138978 -0.0625399 
0.0127467 -0.0573602 
0.0116946 -0.0526256 
0.0107328 -0.0482975 
0.00985408 -0.0443433 
0.00905108 -0.0407299 
0.00831717 -0.0374272 
0.00764647 -0.0344091 
0.00700452 -0.0315204 
0.00644672 -0.0290102 
0.0059375 -0.0267188 
0.00547191 -0.0246236 
0.00504653 -0.0227094 
0.00465749 -0.0209587 
0.00430248 -0.0193612 
0.00397789 -0.0179005 
0.00368092 -0.0165641 
0.00341005 -0.0153452 
0.00316228 -0.0142303 
0.00293594 -0.0132117 
0.00272879 -0.0122795 
0.00253101 -0.0113895 
0.00235899 -0.0106155 
0.00220176 -0.00990791 
0.00205825 -0.00926212 
0.00192689 -0.00867102 
0.0018068 -0.0081306 
0.00169713 -0.00763708 
0.00159688 -0.00718597 
0.00150516 -0.00677321 
0.00142224 -0.00640006 
0.00134693 -0.00606116 
0.00127772 -0.00574975 
0.00121437 -0.00546466 
0.00115673 -0.00520527 
0.00110403 -0.00496812 
0.00105577 -0.00475095 
0.00101161 -0.00455226 
0.00097143 -0.00437144 
0.000934512 -0.0042053 
0.000900724 -0.00405326 
0.000870102 -0.00391546 
0.000842092 -0.00378941 
0.000814923 -0.00366715 
0.000791789 -0.00356305 
0.000770577 -0.0034676 
0.000750776 -0.00337849 
0.000733157 -0.00329921 
0.000716818 -0.00322568 
0.000701969 -0.00315886 
0.000688091 -0.00309641 
0.000675874 -0.00304143 
0.00066455 -0.00299047 
0.000653866 -0.0029424 
0.000644581 -0.00290062 
0.000635858 -0.00286136 
0.000627969 -0.00282586 
0.000620448 -0.00279202 
0.000613759 -0.00276192 
0.000607695 -0.00273463 
0.000602099 -0.00270944 
0.000597156 -0.0026872 
0.000592435 -0.00266596 
0.000588069 -0.00264631 
0.00058433 -0.00262949 
0.000579996 -0.00260998 
0.000577015 -0.00259657 
0.000573898 -0.00258254 
0.000571092 -0.00256991 
0.000568201 -0.00255691 
0.000565948 -0.00254677 
0.000563974 -0.00253788 
0.00056176 -0.00252792 
0.000559692 -0.00251861 
0.000558064 -0.00251129 
0.000556675 -0.00250504 
0.000555212 -0.00249845 
0.000553579 -0.00249111 
0.000552466 -0.0024861 
0.00055133 -0.00248099 
0.000550244 -0.0024761 
0.000549191 -0.00247136 
0.000548016 -0.00246607 
0.000547342 -0.00246304 
0.000546602 -0.00245971 
0.000545874 -0.00245643 
0.000545149 -0.00245317 
0.000544272 -0.00244923 
0.000543874 -0.00244743 
0.000543384 -0.00244523 
0.000542885 -0.00244298 
0.000542253 -0.00244014 
0.000542014 -0.00243906 
0.0005417 -0.00243765 
0.000541386 -0.00243624 
0.000541047 -0.00243471 
0.00054052 -0.00243234 
0.000541357 -0.00243611 
0.000541576 -0.00243709 
0.000542362 -0.00244063 
0.000542865 -0.00244289 
